run_id,session_id,family_id,variant_id,label,mode,sample_count,evidence_directory_bytes,cpu_load_percent_median,cpu_load_percent_iqr,cpu_load_percent_maximum,memory_used_mb_median,memory_used_mb_iqr,memory_used_mb_maximum,disk_bytes_per_sec_median,disk_bytes_per_sec_iqr,disk_bytes_per_sec_maximum,network_bytes_per_sec_median,network_bytes_per_sec_iqr,network_bytes_per_sec_maximum,free_system_disk_mb_median,free_system_disk_mb_iqr,free_system_disk_mb_maximum,monitored_process_cpu_percent_median,monitored_process_cpu_percent_iqr,monitored_process_cpu_percent_maximum,monitored_process_working_set_mb_median,monitored_process_working_set_mb_iqr,monitored_process_working_set_mb_maximum
S02-008-B3-V1,S02,B3,V1,0,Formal,34,876069,2.0,1.0,32.0,3754.9300000000003,28.120000000000346,3779.62,14301.73,66894.62999999999,467823.37,0.0,337.3125,5172.03,95836.51,0.9550000000017462,95837.82,0.11,0.11000000000000001,0.385,92.725,0.9450000000000074,95.11
S02-009-B3-V2,S02,B3,V2,0,Formal,34,894257,1.0,2.0,29.0,3776.745,9.007500000000164,3811.09,14313.205,64819.91499999999,180407.64,0.0,143.74,7356.87,95834.435,0.3650000000052387,95834.73,0.165,0.16400000000000003,0.605,92.87,0.31750000000000966,98.17
S02-010-S1-V1,S02,S1,V1,1,Formal,34,971853,2.0,3.0,15.0,3795.7349999999997,28.612500000000182,3813.88,12260.39,73351.4275,1962298.25,120.47,932.3874999999999,32040.34,95833.46,0.3625000000029104,95833.93,0.165,0.16500000000000004,0.442,93.87,1.0974999999999966,98.0
S02-011-B2-V1,S02,B2,V1,0,Formal,34,909514,2.0,1.0,11.0,3801.1800000000003,12.815000000000055,3848.66,8089.925,45257.575,123210.03,0.0,317.7925,1107.37,95831.815,0.257499999992433,95832.2,0.11,0.166,0.439,92.99,0.8600000000000136,96.27
S02-012-S3-V1,S02,S3,V1,1,Formal,34,1050810,2.0,3.0,14.0,3836.035,13.512500000000273,3847.5,12259.235,57022.0475,237567.55,0.0,120.8575,13841.3,95830.86,0.1974999999947613,95831.13,0.165,0.11,0.33,93.195,1.3375000000000057,96.2
S03-001-S2-V1,S03,S2,V1,1,Formal,34,1064079,9.5,8.75,28.0,3140.81,52.69250000000011,3208.08,30547.52,61700.30999999999,52606183.26,4891.93,1336.205,7362.28,97352.405,1.632499999992433,97354.25,0.165,0.164,0.604,101.22999999999999,1.1399999999999864,105.49
S03-002-B2-V1,S03,B2,V1,0,Formal,34,963165,6.0,6.0,29.0,3102.625,155.65750000000025,3289.39,12190.795,41844.697499999995,1429305.17,4765.67,597.1300000000001,16700.71,97284.905,7.0974999999889405,97286.6,0.165,0.11,0.384,100.48,1.542500000000004,104.06
S03-003-S2-V2,S03,S2,V2,1,Formal,34,951118,5.0,5.75,60.0,3274.375,85.95000000000027,3301.11,16371.48,71186.7525,27750866.38,4258.5599999999995,946.3749999999995,9108.24,97274.82,2.334999999991851,97276.43,0.165,0.116,0.385,101.285,0.8100000000000023,104.23
S03-004-B3-V1,S03,B3,V1,0,Formal,34,872866,2.0,2.75,22.0,3269.1800000000003,11.362499999999727,3284.41,14273.8,96856.3425,3073419.52,0.0,308.6175,6154.48,97271.36499999999,0.8500000000058208,97272.58,0.11,0.165,0.441,100.83,0.33499999999999375,102.83
S03-005-B1-V1,S03,B1,V1,0,Formal,34,852468,2.0,1.0,13.0,3241.395,12.69000000000051,3256.88,12264.064999999999,68676.5,274176.91,0.0,0.0,1705.37,97267.595,0.33500000000640284,97268.0,0.11,0.11000000000000001,0.44,101.10499999999999,1.667500000000004,103.54
S03-006-B1-V2,S03,B1,V2,0,Formal,34,838207,1.0,1.0,23.0,3229.3050000000003,9.584999999999582,3247.15,0.0,16260.725,167389.49,0.0,294.64,3224.33,97266.43,0.33500000000640284,97266.78,0.165,0.09899999999999999,0.275,101.49,0.852499999999992,103.25
S03-007-B3-V2,S03,B3,V2,0,Formal,34,875312,2.0,1.75,26.0,3224.5150000000003,16.565000000000055,3249.52,12301.765,76853.60500000001,4199866.07,0.0,359.8375,5726.31,97272.72,3.6000000000058208,97274.61,0.11,0.11000000000000001,0.332,103.17,2.155000000000001,105.8
S03-008-S1-V1,S03,S1,V1,1,Formal,34,948907,2.0,1.0,13.0,3220.425,10.289999999999964,3230.06,2041.1,47936.4275,133866.11,0.0,142.795,34488.92,97273.5,0.28749999999126885,97273.67,0.11,0.11000000000000001,0.385,102.035,0.8674999999999926,105.03
S03-009-S3-V1,S03,S3,V1,1,Formal,34,1119559,1.0,1.0,12.0,3237.98,95.32499999999982,3329.83,12264.26,134015.3775,1265249.77,0.0,140.3525,22377.73,97271.63,2.0599999999976717,97273.18,0.11,0.11,0.496,104.545,2.4949999999999903,107.23
S03-010-S3-V2,S03,S3,V2,1,Formal,34,1051571,1.5,2.0,8.0,3289.61,16.014999999999873,3307.46,8197.745,79308.36,291854.76,0.0,487.425,13939.98,97268.85,0.3874999999970896,97269.12,0.111,0.05500000000000001,0.44,101.58500000000001,0.977499999999992,103.82
S03-011-B2-V2,S03,B2,V2,0,Formal,34,866832,1.0,1.0,13.0,3309.3,22.3449999999998,3318.1,12327.744999999999,83895.92,173656.5,0.0,127.85,3044.54,97267.54,0.36249999998835847,97267.88,0.165,0.05600000000000001,0.331,101.61500000000001,0.6200000000000045,104.8
S03-012-S1-V2,S03,S1,V2,1,Formal,34,913534,1.0,1.0,4.0,3308.05,11.210000000000036,3320.0,12224.470000000001,80359.85,244585.6,0.0,136.245,32360.68,97266.43,0.20249999999941792,97266.63,0.165,0.11000000000000001,0.331,100.59,0.28999999999999204,104.41
