review_id,record_level,design,model,feature_set,run_id,session_id,family_id,family_name,variant_id,label,error_window_index,representative_window_index,score,threshold,distance_from_threshold,prediction,error_type,exact_indicator_score,exact_indicator_prediction,rule_score,rule_prediction,telemetry_score,telemetry_prediction,hybrid_score,hybrid_prediction,principal_feature_values,benign_deviation_summary,source_health_status,run_validation_passed,preflight_passed,endpoint_export_complete,wazuh_export_complete,suricata_export_complete,rollback_success,action_records,failed_actions,sysmon_event_count,osquery_snapshot_record_count,osquery_malformed_line_count,wazuh_exported_unique_alerts,suricata_records_exported,suricata_malformed_lines,raw_evidence_directory,source_health_report,suggested_category,final_category,raw_evidence_consistent,feature_explanation_consistent,retain_in_metrics,manual_review_notes,review_status
SELERR-020,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-003-B1-V2,S02,B1,document_workflow,V2,0,2,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5000223682437656,0,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,49,10,0,18,79,0,/home/edradmin/edr-evidence/runs/S02-003-B1-V2,/home/edradmin/edr-evidence/runs/S02-003-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-021,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-005-S1-V2,S02,S1,file_registry_burst,V2,1,0,0,0.51,0.6,-0.08999999999999997,0,false_negative,0.0,0,1.0,1,0.51,0,0.4260315760757511,0,sysmon_file_create_count=55; sysmon_network_connect_count=1; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=55; benign_mean=5.6667; standardised_deviation=6.6387 | osquery_process_count_delta=-1; benign_mean=0.25; standardised_deviation=-0.9623 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_destination_count=1; benign_mean=0.625; standardised_deviation=0.378,complete,yes,yes,yes,yes,yes,yes,4,0,156,11,0,26,97,0,/home/edradmin/edr-evidence/runs/S02-005-S1-V2,/home/edradmin/edr-evidence/runs/S02-005-S1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-022,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-005-S1-V2,S02,S1,file_registry_burst,V2,1,3,3,0.03,0.6,-0.57,0,false_negative,0.0,0,1.0,1,0.03,0,0.1429370988810451,0,sysmon_file_create_count=20; sysmon_network_connect_count=1; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_destination_count=1; benign_mean=0.625; standardised_deviation=0.378,complete,yes,yes,yes,yes,yes,yes,4,0,156,11,0,26,97,0,/home/edradmin/edr-evidence/runs/S02-005-S1-V2,/home/edradmin/edr-evidence/runs/S02-005-S1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-023,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S02-010-S1-V1,S02,S1,file_registry_burst,V1,1,3,3,0.0,0.6,-0.6,0,false_negative,38.0,1,1.0,1,0.0,0,0.1757739342697482,0,sysmon_file_create_count=20; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,161,10,0,32,100,0,/home/edradmin/edr-evidence/runs/S02-010-S1-V1,/home/edradmin/edr-evidence/runs/S02-010-S1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-024,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-005-B1-V1,S03,B1,document_workflow,V1,0,2,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5314236049242751,1,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,56,10,0,19,84,0,/home/edradmin/edr-evidence/runs/S03-005-B1-V1,/home/edradmin/edr-evidence/runs/S03-005-B1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-025,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-006-B1-V2,S03,B1,document_workflow,V2,0,2,2,0.69375,0.6,0.09375,1,false_positive,0.0,0,1.0,1,0.69375,1,0.5300054668832656,1,sysmon_file_create_count=0; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_create_count=0; benign_mean=5.6667; standardised_deviation=-0.7626 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433 | sysmon_unique_parent_child_pair_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,48,10,0,17,80,0,/home/edradmin/edr-evidence/runs/S03-006-B1-V2,/home/edradmin/edr-evidence/runs/S03-006-B1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-026,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-008-S1-V1,S03,S1,file_registry_burst,V1,1,3,3,0.0,0.6,-0.6,0,false_negative,38.0,1,1.0,1,0.0,0,0.1757739342697482,0,sysmon_file_create_count=20; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,132,11,0,21,83,0,/home/edradmin/edr-evidence/runs/S03-008-S1-V1,/home/edradmin/edr-evidence/runs/S03-008-S1-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-027,window,family_holdout_1_B1_S1,random_forest,telemetry_only,S03-012-S1-V2,S03,S1,file_registry_burst,V2,1,3,3,0.0,0.6,-0.6,0,false_negative,0.0,0,1.0,1,0.0,0,0.1803894658927632,0,sysmon_file_create_count=20; sysmon_network_connect_count=0; sysmon_process_create_count=0; sysmon_cmd_process_count=0; sysmon_unique_process_image_count=0; sysmon_unique_parent_child_pair_count=0,sysmon_file_delete_count=18; benign_mean=0.4167; standardised_deviation=12.7238 | sysmon_file_create_count=20; benign_mean=5.6667; standardised_deviation=1.9288 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299 | sysmon_network_connect_count=0; benign_mean=1.0417; standardised_deviation=-0.5974 | sysmon_unique_process_image_count=0; benign_mean=0.5; standardised_deviation=-0.433,complete,yes,yes,yes,yes,yes,yes,4,0,142,10,0,21,97,0,/home/edradmin/edr-evidence/runs/S03-012-S1-V2,/home/edradmin/edr-evidence/runs/S03-012-S1-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-045,run,family_holdout_2_B2_S2,random_forest,telemetry_only,S01-001-B2-V1,S01,B2,system_inventory,V1,0,,2,0.515,0.44,0.07500000000000001,1,false_positive,0.0,0,1.0,1,0.515,1,0.56,1,sysmon_file_create_count=2; sysmon_network_connect_count=0; sysmon_process_create_count=3; sysmon_unique_process_image_count=2; sysmon_registry_event_count=0; sysmon_unique_parent_child_pair_count=2,osquery_process_count_delta=3; benign_mean=0.25; standardised_deviation=2.117 | sysmon_unique_process_image_count=2; benign_mean=0.5; standardised_deviation=1.299 | sysmon_unique_parent_child_pair_count=2; benign_mean=0.5; standardised_deviation=1.299 | sysmon_process_create_count=3; benign_mean=0.9583; standardised_deviation=0.7519 | sysmon_unique_destination_count=0; benign_mean=0.625; standardised_deviation=-0.6299,complete,yes,yes,yes,yes,yes,yes,4,0,35,10,0,26,86,0,/home/edradmin/edr-evidence/runs/S01-001-B2-V1,/home/edradmin/edr-evidence/runs/S01-001-B2-V1/run-validation-report.json,held-out-family shift,,,,yes,,pending
SELERR-046,run,family_holdout_2_B2_S2,random_forest,telemetry_only,S01-011-B2-V2,S01,B2,system_inventory,V2,0,,2,0.85,0.44,0.41,1,false_positive,0.0,0,1.0,1,0.85,1,0.75,1,sysmon_file_create_count=2; sysmon_network_connect_count=2; sysmon_process_create_count=2; sysmon_unique_process_image_count=2; sysmon_registry_event_count=0; sysmon_unique_parent_child_pair_count=2,osquery_process_count_delta=2; benign_mean=0.25; standardised_deviation=1.3472 | sysmon_unique_process_image_count=2; benign_mean=0.5; standardised_deviation=1.299 | sysmon_unique_parent_child_pair_count=2; benign_mean=0.5; standardised_deviation=1.299 | sysmon_network_connect_count=2; benign_mean=1.0417; standardised_deviation=0.5496 | sysmon_file_create_count=2; benign_mean=5.6667; standardised_deviation=-0.4934,complete,yes,yes,yes,yes,yes,yes,4,0,25,10,0,26,80,0,/home/edradmin/edr-evidence/runs/S01-011-B2-V2,/home/edradmin/edr-evidence/runs/S01-011-B2-V2/run-validation-report.json,held-out-family shift,,,,yes,,pending
