run_id,session_id,family_id,variant_id,scenario_name,label,mode,window_index,window_start_utc,window_end_utc,window_duration_s,sample_filename,behavioural_family,protocol_id,source_health_status,sysmon_process_create_count,sysmon_unique_process_image_count,sysmon_powershell_process_count,sysmon_cmd_process_count,sysmon_unique_parent_child_pair_count,sysmon_network_connect_count,sysmon_unique_destination_count,sysmon_dns_query_count,sysmon_file_create_count,sysmon_file_delete_count,sysmon_registry_event_count,osquery_process_count_delta,wazuh_level_00_count,wazuh_level_01_count,wazuh_level_02_count,wazuh_level_03_count,wazuh_level_04_count,wazuh_level_05_count,wazuh_level_06_count,wazuh_level_07_count,wazuh_level_08_count,wazuh_level_09_count,wazuh_level_10_count,wazuh_level_11_count,wazuh_level_12_count,wazuh_level_13_count,wazuh_level_14_count,wazuh_level_15_count,wazuh_alert_total_count,suricata_alert_count,exact_indicator_hit_count,exact_indicator_prediction,rule_baseline_prediction
S01-004-B1-V1,S01,B1,V1,B1-V1,0,Formal,3,2026-07-28T18:15:41.520221Z,2026-07-28T18:16:11.520221Z,30,S01-004-B1-V1-w03,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,2,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1
S01-005-S1-V1,S01,S1,V1,S1-V1,1,Formal,0,2026-07-28T18:18:29.950028Z,2026-07-28T18:18:59.950028Z,30,S01-005-S1-V1-w00,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,45,1,1
S01-005-S1-V1,S01,S1,V1,S1-V1,1,Formal,1,2026-07-28T18:18:59.950028Z,2026-07-28T18:19:29.950028Z,30,S01-005-S1-V1-w01,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,30,1,1
S01-005-S1-V1,S01,S1,V1,S1-V1,1,Formal,2,2026-07-28T18:19:29.950028Z,2026-07-28T18:19:59.950028Z,30,S01-005-S1-V1-w02,S1,EDR-MSC-FINAL,complete,2,2,0,1,2,3,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-005-S1-V1,S01,S1,V1,S1-V1,1,Formal,3,2026-07-28T18:19:59.950028Z,2026-07-28T18:20:29.950028Z,30,S01-005-S1-V1-w03,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,7,4,0,20,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,38,1,1
S01-006-S2-V2,S01,S2,V2,S2-V2,1,Formal,0,2026-07-28T18:22:49.493463Z,2026-07-28T18:23:19.493463Z,30,S01-006-S2-V2-w00,S2,EDR-MSC-FINAL,complete,3,3,0,0,3,0,0,0,47,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,1
S01-006-S2-V2,S01,S2,V2,S2-V2,1,Formal,1,2026-07-28T18:23:19.493463Z,2026-07-28T18:23:49.493463Z,30,S01-006-S2-V2-w01,S2,EDR-MSC-FINAL,complete,3,3,0,0,3,2,1,0,2,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,6,2,0,0,1
S01-006-S2-V2,S01,S2,V2,S2-V2,1,Formal,2,2026-07-28T18:23:49.493463Z,2026-07-28T18:24:19.493463Z,30,S01-006-S2-V2-w02,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
S01-006-S2-V2,S01,S2,V2,S2-V2,1,Formal,3,2026-07-28T18:24:19.493463Z,2026-07-28T18:24:49.493463Z,30,S01-006-S2-V2-w03,S2,EDR-MSC-FINAL,complete,2,2,1,1,2,3,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-007-B1-V2,S01,B1,V2,B1-V2,0,Formal,0,2026-07-28T18:27:08.806117Z,2026-07-28T18:27:38.806117Z,30,S01-007-B1-V2-w00,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1
