design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,false_positive_rate,-0.3333333333333333,-0.6708333333333332,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-logistic_regression,balanced_accuracy,0.16666666666666674,0.0,0.3354166666666672,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-random_forest,mcc,1.0,1.0,1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-random_forest,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-random_forest,balanced_accuracy,0.5,0.5,0.5,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-xgboost,mcc,1.0,1.0,1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-xgboost,false_positive_rate,-1.0,-1.0,-1.0,False
family_holdout_1_B1_S1,hybrid-logistic_regression,telemetry_only-xgboost,balanced_accuracy,0.5,0.5,0.5,False
family_holdout_1_B1_S1,hybrid-random_forest,hybrid-xgboost,mcc,0.7071067811865476,0.44357103922690316,1.0,False
family_holdout_1_B1_S1,hybrid-random_forest,hybrid-xgboost,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-random_forest,hybrid-xgboost,false_positive_rate,-0.6666666666666667,-1.0,-0.3291666666666658,False
family_holdout_1_B1_S1,hybrid-random_forest,hybrid-xgboost,balanced_accuracy,0.33333333333333326,0.16458333333333333,0.5,False
family_holdout_1_B1_S1,hybrid-random_forest,rule_baseline,mcc,0.7071067811865476,0.4472135954999579,1.0,False
family_holdout_1_B1_S1,hybrid-random_forest,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_1_B1_S1,hybrid-random_forest,rule_baseline,false_positive_rate,-0.6666666666666667,-1.0,-0.33333333333333337,False
family_holdout_1_B1_S1,hybrid-random_forest,rule_baseline,balanced_accuracy,0.33333333333333326,0.16666666666666663,0.5,False
family_holdout_1_B1_S1,hybrid-random_forest,telemetry_only-logistic_regression,mcc,0.0,-0.5527864045000421,0.4256745602938844,True
