fraction,run_directories,raw_evidence_bytes,elapsed_seconds,peak_rss_bytes,exit_code,valid_runs,dataset_rows,rows_per_second,megabytes_per_second
0.25,9,8350079,0.4132978119996551,113684480,0,9,36,87.10425982131753,19.267597483119097
0.5,18,16464590,0.5160668050011736,123604992,0,18,72,139.5168208887922,30.426015509994816
0.75,27,25218614,0.6190810730004159,123777024,0,27,108,174.45211089489638,38.84845703746289
1.0,36,33557870,0.6188955389989133,113979392,0,36,144,232.6725447608257,51.710307662043114
